desertionNo,happenDt,happenPlace,kindFullNm,upKindCd,upKindNm,kindCd,kindNm,colorCd,age,weight,noticeNo,noticeSdt,noticeEdt,popfile1,popfile7,processState,sexCd,neuterYn,specialMark,careRegNo,careNm,careTel,careAddr,careOwnerNm,orgNm,updTm,popfile8,endReason,popfile2,rfidCd,etcBigo,popfile3,adptnTitle,adptnSDate,adptnEDate,adptnConditionLimitTxt,adptnTxt,adptnImg,srvcTitle,srvcSDate,srvcEDate,srvcConditionLimitTxt,srvcTxt,popfile4,popfile5,popfile6,healthChk,sfeSoci,sfeHealth,vaccinationChk,happenYear
450651202301533,20230630,도평동길8-1인근,[기타축종] 토끼 ,429900,기타,117,기타축종,흰색,2023(년생),1(Kg),제주-제주-2023-00012,20230713,20230724,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/05/202306301306667.jpeg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/05/202306301306709.jpeg,종료(입양),Q,U,흰색 ,350651202300001,제주애니시스(주),010-2929-4114,제주특별자치도 제주시 아봉로 503-1 (용강동) ,김대승,제주특별자치도 제주시,2023-09-05 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,,,,2023
450651202301532,20230630,도평동길8-1인근,[기타축종] 토끼 ,429900,기타,117,기타축종,흰색,2023(년생),1(Kg),제주-제주-2023-00018,20230713,20230724,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/05/202306301306807.jpeg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/05/202306301306841.jpeg,종료(입양),Q,U,흰색 ,350651202300001,제주애니시스(주),010-2929-4114,제주특별자치도 제주시 아봉로 503-1 (용강동) ,김대승,제주특별자치도 제주시,2023-09-05 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,,,,2023
450651202301531,20230630,도평동길8-1인근,[기타축종] 토끼,429900,기타,117,기타축종,흰색 ,2023(년생),1(Kg),제주-제주-2023-00017,20230713,20230724,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/05/202306301306196.jpeg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/05/202306301306269.jpeg,종료(입양),Q,U,흰색,350651202300001,제주애니시스(주),010-2929-4114,제주특별자치도 제주시 아봉로 503-1 (용강동) ,김대승,제주특별자치도 제주시,2023-08-11 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,,,,2023
450651202301530,20230630,도평동길8-1인근,[기타축종] 토끼,429900,기타,117,기타축종,흰색,2023(년생),1(Kg),제주-제주-2023-00016,20230713,20230724,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/05/202306301306530.jpeg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/05/202306301306581.jpeg,종료(입양),Q,U,흰색 ,350651202300001,제주애니시스(주),010-2929-4114,제주특별자치도 제주시 아봉로 503-1 (용강동) ,김대승,제주특별자치도 제주시,2023-09-05 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,,,,2023
450651202301529,20230630,도평동길8-1인근,[기타축종] 토끼,429900,기타,117,기타축종,"흰,검",2023(년생),1(Kg),제주-제주-2023-00015,20230713,20230724,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/05/202306301306225.jpeg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/05/202306301306273.jpeg,종료(입양),Q,U,"흰,검 ",350651202300001,제주애니시스(주),010-2929-4114,제주특별자치도 제주시 아봉로 503-1 (용강동) ,김대승,제주특별자치도 제주시,2023-09-05 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,,,,2023
450651202301528,20230630,도평동길8-1인근,[기타축종] 토끼,429900,기타,117,기타축종,흰색,2023(년생),1(Kg),제주-제주-2023-00014,20230713,20230724,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/05/202306301306809.jpeg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/05/202306301306861.jpeg,종료(입양),Q,U,흰색,350651202300001,제주애니시스(주),010-2929-4114,제주특별자치도 제주시 아봉로 503-1 (용강동) ,김대승,제주특별자치도 제주시,2023-08-11 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,,,,2023
450651202301524,20230630,도평동길8-1인근,[기타축종] 토끼,429900,기타,117,기타축종,흰색,2023(년생),1(Kg),제주-제주-2023-00013,20230713,20230724,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/05/202306301306157.jpeg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/05/202306301306275.jpeg,종료(입양),Q,U,흰색+검은색,350651202300001,제주애니시스(주),010-2929-4114,제주특별자치도 제주시 아봉로 503-1 (용강동) ,김대승,제주특별자치도 제주시,2023-09-05 00:00:00.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/05/202306301306330.jpeg,,,,,,,,,,,,,,,,,,,,,,,,2023
448547202300723,20230630,거창읍 중앙리 445,[개] 믹스견,417000,개,114,믹스견,"갈색, 검정",2020(년생),15(Kg),경남-거창-2023-00230,20230706,20230717,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/05/20230706090797.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/05/202307060907133.jpg,종료(안락사),F,N,"순함, 빨간색 목줄 착용",348547202200001,거창유기동물보호센터,055-945-6500,경상남도 거창군 남상면 수남로 1934-12  ,허이현,경상남도 거창군,2023-08-02 00:00:00.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/05/202307060907169.jpg,동물보호법 시행규칙 제28조제1항,,,,,,,,,,,,,,,,,,,,,,,2023
448533202200791,20230630,산양읍 영운리,[고양이] 믹스묘,422400,고양이,212,믹스묘,기타(검정&갈색),2021(년생),4(Kg),경남-통영-2023-00157,20230706,20230717,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/11/202412301612920.jpg,,종료(입양),F,Y,3살추정(23.6.30.기준),348533202300001,고양이보호분양센터,055-650-6250,경상남도 통영시 한산면 호두1길 351  공공형 고양이 보호분양센터,통영시장,경상남도 통영시,2026-03-25 16:10:31.0,,,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/11/202412301412168.jpg,,,,,,,,,,,,,,,,,,,,,,2023
447507202300072,20230630,안동시청일대,[개] 믹스견,417000,개,114,믹스견,검정색,2023(년생),18(Kg),경북-안동-2023-00071,20230706,20230713,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/05/202307062307338.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/05/202307062307358.jpg,종료(반환),F,N,"2마리함께,양호 순함",347507200900001,유기동물보호센터,010-7703-1999,경상북도 안동시 서후면 풍산태사로 3252-29 (서후면) ,조종영,경상북도 안동시,2023-07-07 00:00:00.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/05/202307062307607.jpg,,,,,,,,,,,,,,,,,,,,,,,,2023
447507202300071,20230630,안동시청일대,[개] 믹스견,417000,개,114,믹스견,흰색,2022(년생),18(Kg),경북-안동-2023-00070,20230706,20230713,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/05/202307062307241.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/05/202307062307289.jpg,종료(반환),M,N,"2마리함께,양호 순함",347507200900001,유기동물보호센터,010-7703-1999,경상북도 안동시 서후면 풍산태사로 3252-29 (서후면) ,조종영,경상북도 안동시,2023-07-07 00:00:00.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/05/202307062307312.jpg,,,,,,,,,,,,,,,,,,,,,,,,2023
430366202300407,20230630,괴정로 8번길 진선빌라 인근,[고양이] 한국 고양이,422400,고양이,200,한국 고양이,고등어,2023(년생),0.5(Kg),대전-서구-2023-00213,20230706,20230717,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/05/202307062007608.png,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/05/202307121607470.jpg,종료(입양),Q,U,박스유기,330366202000001,대전동물보호센터,042-825-1118,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,대전광역시,대전광역시 서구,2023-08-19 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,,,,2023
430366202300406,20230630,괴정로 8번길 진선빌라 인근,[고양이] 한국 고양이,422400,고양이,200,한국 고양이,고등어,2023(년생),0.5(Kg),대전-서구-2023-00212,20230706,20230717,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/05/20230706200702.png,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/05/202307121607526.jpg,종료(입양),Q,U,미상,330366202000001,대전동물보호센터,042-825-1118,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,대전광역시,대전광역시 서구,2023-07-23 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,,,,2023
430366202300405,20230630,괴정로 8번길 진선빌라 인근,[고양이] 한국 고양이,422400,고양이,200,한국 고양이,치즈,2023(년생),0.5(Kg),대전-서구-2023-00211,20230706,20230717,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/05/202307062007522.png,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/05/202307121607488.jpg,종료(입양),Q,U,박스유기,330366202000001,대전동물보호센터,042-825-1118,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,대전광역시,대전광역시 서구,2023-07-26 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,,,,2023
430366202300404,20230630,괴정로 8번길 진선빌라 인근,[고양이] 한국 고양이,422400,고양이,200,한국 고양이,삼색,2021(년생),3(Kg),대전-서구-2023-00210,20230706,20230717,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/05/202307062007155.png,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/05/20230712160766.jpg,종료(입양),F,U,박스 유기,330366202000001,대전동물보호센터,042-825-1118,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,대전광역시,대전광역시 서구,2023-08-10 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,,,,2023
448544202300253,20230630,경상남도 하동군 악양면 대축길 42-7 ,[개] 믹스견,417000,개,114,믹스견,연갈색,2020(년생),6.8(Kg),경남-하동-2023-00209,20230705,20230717,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/05/202307041707970.jpg,,종료(안락사),M,N,사람을 피함,348544201100001,하동군유기동물보호소,055-880-2677,경상남도 하동군 적량면 한옥정길 90 (적량면) 유기동물보호소,하동군농업기술센터,경상남도 하동군,2023-07-26 00:00:00.0,,타 개체에 대한 공격성 강함.,,,,,,,,,,,,,,,,,,,,,,,2023
