desertionNo,happenDt,happenPlace,kindFullNm,upKindCd,upKindNm,kindCd,kindNm,colorCd,age,weight,noticeNo,noticeSdt,noticeEdt,popfile1,popfile7,popfile8,processState,sexCd,neuterYn,specialMark,careRegNo,careNm,careTel,careAddr,careOwnerNm,orgNm,updTm,endReason,rfidCd,etcBigo,popfile2,adptnTitle,adptnSDate,adptnEDate,adptnConditionLimitTxt,adptnTxt,adptnImg,srvcTitle,srvcSDate,srvcEDate,srvcConditionLimitTxt,srvcTxt,popfile3,popfile4,popfile5,popfile6,vaccinationChk,healthChk,sfeSoci,sfeHealth
448538202300917,20231231,롯데마트정문(삼호동),[개] 믹스견,417000,개,000114,믹스견,검정갈색,2021(년생),9.8(Kg),경남-양산-2024-00001,20240103,20240115,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202401031701841[1].jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202401031701879.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202401031701921.jpg,종료(입양),M,U,"검정갈색,검정목테착용,순하고사람잘따름",348538200900001,양산시 동물보호센터,055-392-5669,경상남도 양산시 동면 양산대로 618  양산시 농업기술센터,양산시장,경상남도 양산시,2024-02-02 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,,
444461202400001,20231231,역전로 121,[개] 믹스견,417000,개,000114,믹스견,희검정,2023(년생),3(Kg),충남-예산-2024-00004,20240103,20240111,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/20240102080154.jpg,,,종료(안락사),M,N,주민 신고후 출동 구조함. 신고자 분양 예약함.,344461201900001,예산동물보호센터,010-5453-8043,충청남도 예산군 예산읍 아리랑로 236  지하1층,이문승,충청남도 예산군,2024-03-19 00:00:00.0,공고기간 경과에 따른 보호종료,,,,,,,,,,,,,,,,,,,,,,
444461202300802,20231231,군청 당직실,[개] 믹스견,417000,개,000114,믹스견,흰고동색,2023(년생),2(Kg),충남-예산-2024-00003,20240103,20240111,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202401020801203.jpg,,,종료(자연사),M,N,떠돌이견. 주민 신고후  출동 구조함.,344461201900001,예산동물보호센터,010-5453-8043,충청남도 예산군 예산읍 아리랑로 236  지하1층,이문승,충청남도 예산군,2024-03-19 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,,
444461202300801,20231231,예당남로 693,[개] 믹스견,417000,개,000114,믹스견,고동색,2023(년생),5(Kg),충남-예산-2024-00002,20240103,20240111,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202401020801745.jpg,,,종료(자연사),F,N,주민 신고후 출동 구조함. 퍼그믹스로 추정됨,344461201900001,예산동물보호센터,010-5453-8043,충청남도 예산군 예산읍 아리랑로 236  지하1층,이문승,충청남도 예산군,2024-03-19 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,,
444461202300800,20231231,수덕사 주차장,[개] 믹스견,417000,개,000114,믹스견,흰연갈색,2023(년생),4(Kg),충남-예산-2024-00001,20240103,20240111,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202401020801582.jpg,,,종료(안락사),F,N,주민 신고 후 출동 구조함.,344461201900001,예산동물보호센터,010-5453-8043,충청남도 예산군 예산읍 아리랑로 236  지하1층,이문승,충청남도 예산군,2024-03-19 00:00:00.0,공고기간 경과에 따른 보호종료,,,,,,,,,,,,,,,,,,,,,,
444460202300863,20231231,홍동면 금당리 금당초등학교앞,[개] 푸들,417000,개,000128,푸들,회색,2022(년생),4(Kg),충남-홍성-2024-00003,20240103,20240110,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202401031101882[2].jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202401031101485.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202401031101776.jpg,종료(입양),M,Y,중성화,344460201300001,금일동물보호센터,041-634-5400,충청남도 홍성군 홍동면 충절로 625 (홍동면) ,복진수,충청남도 홍성군,2024-02-08 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,,
444460202300862,20231231,홍동면 금당리 금당초등학교앞,[개] 말티즈,417000,개,000072,말티즈,흰색,2022(년생),4(Kg),충남-홍성-2024-00002,20240103,20240110,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202401031101319.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202401031101361.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202401031101402.jpg,종료(입양),M,Y,중성화,344460201300001,금일동물보호센터,041-634-5400,충청남도 홍성군 홍동면 충절로 625 (홍동면) ,복진수,충청남도 홍성군,2024-03-06 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,,
426332202300995,20231231,구만덕로59번길 42,[개] 믹스견,417000,개,000114,믹스견,황색,2022(년생),9.5(Kg),부산-북구-2024-00009,20240103,20240115,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202401031301507.png,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/03/202403281103737.jpg,,종료(안락사),M,N,"들개서식지에서 구조, 경계심과 공격성이 강함, 진드기 도포, 북구1-175",326332201000001,부산동물보호센터,051-832-7119,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,김영진,부산광역시 북구,2024-03-28 00:00:00.0,공격성,,,,,,,,,,,,,,,,,,,,,,
411313202301008,20231231,합정역5번출구,[고양이] 한국 고양이,422400,고양이,000200,한국 고양이,턱시도,2023(년생),2.3(Kg),서울-마포-2024-00002,20240103,20240115,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202401041401262.jpg,,,종료(입양),F,N,기력없고 조용함 뒷다리 힘이없음,311313201000017,홍익동물병원,02-325-2026,서울특별시 마포구 독막로 45 (합정동) ,이대영,서울특별시 마포구,2024-01-27 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,,
447522202300279,20231231,기산면 월드피아 아파트,[개] 푸들,417000,개,000128,푸들,흰색,2022(년생),4(Kg),경북-칠곡-2024-00002,20240102,20240110,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202401021201736.jpg,,,종료(반환),M,N,한달전부터 아파트주위배회 사람을잘따르는아이,347522201400001,칠곡유기동물보호센터,054-973-5710,경상북도 칠곡군 석적읍 포망로 341 (석적읍) ,윤광남,경상북도 칠곡군,2024-01-03 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,,
